time,frequency,confidence
0.1,323.93090033330003,0.7971365
0.66,159.41109820704696,0.8168636
0.67,159.83148487048604,0.896042
0.68,160.13594555578553,0.8996542
0.69,161.00206980368742,0.8505143
0.7,162.3454924021392,0.8534225
0.71,163.51107645454707,0.895645
0.72,163.93479580352977,0.9153591
0.73,164.04234681297768,0.9226898
0.74,163.64340647050403,0.9248085
0.75,162.6170901860565,0.90958405
0.76,160.8554561009186,0.8632895
0.77,158.7318532339834,0.87572867
0.78,157.41895118046202,0.9183598
0.79,156.22089798201128,0.94481647
0.8,155.74060172397554,0.94533235
0.81,155.69578615812924,0.94105303
0.82,155.65860531468587,0.94249403
0.83,156.00312334086038,0.9419749
0.84,156.65664895911823,0.9341853
0.85,157.81085012530346,0.90122396
0.86,159.2857296304618,0.89375645
0.87,160.90671700203885,0.8714071
0.88,162.21446488433372,0.8571111
0.89,162.97671642324553,0.8964308
0.9,163.14060015902533,0.91123
0.91,163.16155296362822,0.9142863
0.92,162.80630712478143,0.9168135
0.93,162.11300696002834,0.903455
0.94,161.494135972809,0.910063
0.95,161.06265265763156,0.9082804
0.96,160.59896849387133,0.88421625
0.97,160.31005798488917,0.9040334
0.98,160.115407477866,0.9183932
0.99,160.11072914289474,0.9120007
1.0,160.48927306731204,0.8945876
1.01,160.962535303708,0.8879767
1.02,161.45972535094515,0.882219
1.03,162.22157886841782,0.86684597
1.04,163.15495075522637,0.89991635
1.05,164.09682568446814,0.906603
1.06,164.58897007326655,0.91047734
1.07,164.58449992046025,0.9017685
1.08,164.1624940679081,0.91062653
1.09,164.02663282550012,0.91579086
1.1,164.0912840002953,0.91326505
1.11,163.9019958816181,0.92330205
1.12,163.37677393328877,0.92234105
1.13,162.59190594635186,0.89029765
1.14,161.49886462209966,0.88330215
1.15,160.44728464714257,0.8776478
1.16,159.8417339600313,0.8963338
1.17,159.51425614865036,0.89603627
1.18,159.1019632616518,0.9065326
1.19,159.30781302318164,0.89659035
1.2,159.17628764111603,0.88374776
1.21,159.7668403405555,0.86994183
1.22,161.0097197986053,0.8234995
1.23,163.1374800944168,0.83957344
1.24,165.31217601247437,0.8817244
1.25,166.96058522921874,0.85494095
1.26,168.4175914664053,0.7711469
1.27,169.17227978838824,0.7965149
1.51,154.26785749749553,0.81961423
1.52,154.41445803650294,0.90384907
1.53,154.94958608786777,0.9276313
1.54,155.67902694601773,0.93800473
1.55,156.30119846176154,0.93873155
1.56,156.3290699973265,0.937203
1.57,156.60178921566012,0.9203832
1.58,156.90440145357903,0.898611
1.59,157.7186314845652,0.9123977
1.6,158.67683557833604,0.8952666
1.61,159.48515191058019,0.9140748
1.62,160.3252959820219,0.89510196
1.63,161.06098155801237,0.8904753
1.64,161.48388072339625,0.89895856
1.65,161.45915405836828,0.90078795
1.66,161.1842190461117,0.90904284
1.67,161.4006424128964,0.91890943
1.68,161.9775484855346,0.90211445
1.69,162.4366454904095,0.880172
1.7,162.76543669365452,0.9079256
1.71,162.681491317409,0.90672314
1.72,162.84990226368993,0.9150266
1.73,162.22369044312174,0.88748527
1.74,160.96712891480453,0.8898917
1.75,159.5519790148974,0.88681597
1.76,157.2899307160968,0.79270124
1.81,156.7256941738248,0.7857949
1.82,156.10437421564677,0.9101386
1.83,155.7193139680412,0.9295579
1.84,155.70308150322398,0.93636614
1.85,155.58941806695776,0.9388595
1.86,155.62765573373363,0.93824345
1.87,155.61203632359135,0.9346897
1.88,155.60507088560638,0.93993115
1.89,155.77430253192273,0.93411815
1.9,156.08660782695193,0.94881964
1.91,156.56468721329958,0.93972105
1.92,156.8020758542383,0.9199162
1.93,157.60878428750144,0.911463
1.94,158.07159660044422,0.91225207
1.95,158.44887018974364,0.90280646
1.96,159.00130274030982,0.91219604
1.97,159.44951578434646,0.9264338
1.98,160.32328705397927,0.90163237
1.99,160.62510695539035,0.88146544
2.0,161.2828718298547,0.8893746
2.01,162.18555046870594,0.8788268
2.02,163.31218125491077,0.9020444
2.03,163.85539076876648,0.91170305
2.04,163.9030861447116,0.91457707
2.05,163.76256145551505,0.91849935
2.06,163.60991678894482,0.9109383
2.07,163.15418602425777,0.9024468
2.08,162.54718202180806,0.8845284
2.09,161.7843449291883,0.8863693
2.1,161.10793946859846,0.8839677
2.11,160.0287290595213,0.8949265
2.12,159.09473944102436,0.8913202
2.13,157.59050793288645,0.88154685
2.14,156.31456236400857,0.9038613
2.15,155.59067894305673,0.91029763
2.16,155.08095970676067,0.8922912
2.17,154.97167570354532,0.9025631
2.18,154.793818711677,0.90425986
2.19,154.8929307615202,0.90866005
2.2,154.7016883854509,0.9149419
2.21,154.4408631893407,0.9092566
2.22,154.3843704724758,0.91913295
2.23,154.36766211134005,0.9223046
2.24,154.56144692869134,0.9190034
2.25,154.64104656273656,0.9221173
2.26,155.61683466445908,0.91491264
2.27,156.6730445313341,0.91299015
2.28,157.00664088391648,0.878289
2.29,157.22941744300053,0.86978936
2.3,157.3187868915827,0.87395555
2.31,156.90533011324345,0.8480171
2.32,157.1859329912219,0.8067507
